speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index
199.25,7.08,0,577.87,96.66,100.0
351.94,22.57,0,5617.09,378.93,44.15
293.98,28.97,0,4945.14,300.02,77.74
258.64,27.93,0,3702.69,227.46,100.0
141.34,30.12,1,1184.59,53.24,100.0
141.34,34.38,0,1332.92,77.32,100.0
115.39,34.87,0,899.55,52.04,100.0
329.54,17.31,0,3818.51,302.07,100.0
259.3,20.06,0,2725.14,196.27,100.0
287.64,19.95,0,3334.67,241.01,100.0
105.45,24.26,0,539.9,35.15,100.0
357.03,12.37,0,3226.52,328.86,100.0
320.6,28.18,1,5734.44,263.39,38.28
156.27,8.8,1,441.43,45.31,100.0
148.18,33.54,0,1433.32,83.56,100.0
148.6,8.74,0,396.55,54.59,100.0
180.62,27.28,0,1766.77,109.49,100.0
239.06,16.92,0,1964.62,157.91,100.0
214.47,24.02,0,2211.73,144.69,100.0
177.18,14.43,1,924.21,62.54,100.0
262.14,8.59,0,1212.8,169.63,100.0
136.97,33.14,0,1211.78,70.83,100.0
177.42,20.3,0,1290.45,92.29,100.0
197.09,14.02,0,1111.48,102.55,100.0
220.86,23.73,1,2319.75,114.46,100.0
308.07,12.74,0,2472.39,246.08,100.0
152.91,6.21,1,299.02,42.41,100.0
236.27,28.81,1,3178.52,144.89,100.0
256.99,34.88,1,4461.89,193.59,100.0
112.31,33.69,0,826.74,48.15,100.0
261.0,31.39,0,4192.49,248.33,100.0
145.19,27.42,0,1147.06,70.94,100.0
117.24,9.86,0,278.05,34.38,100.0
351.45,9.67,0,2452.33,308.37,100.0
355.89,9.49,0,2467.45,315.57,100.0
314.23,18.79,0,3757.32,281.73,100.0
180.72,19.28,1,1274.17,70.51,100.0
125.88,22.33,0,711.29,48.25,100.0
281.32,11.8,1,1912.45,152.0,100.0
216.64,6.19,0,598.06,113.48,100.0
132.34,8.02,0,288.81,43.0,100.0
231.22,7.08,1,778.8,97.63,100.0
109.11,28.78,1,677.33,30.88,100.0
340.97,9.04,0,2158.52,288.3,100.0
168.58,27.51,0,1551.11,95.82,100.0
275.57,8.21,1,1281.72,140.08,100.0
182.6,19.88,0,1339.37,97.01,100.0
237.82,13.64,1,1575.36,111.38,100.0
244.88,24.54,0,2942.94,190.6,100.0
148.99,9.38,1,427.41,41.43,100.0
356.94,22.66,0,5799.08,390.43,35.05
305.41,22.15,0,4154.74,283.07,100.0
348.97,17.09,0,4228.01,337.46,100.0
337.13,19.47,1,4477.01,246.21,100.0
258.44,9.41,0,1290.19,166.27,100.0
344.3,29.32,0,6857.46,414.42,0.0
123.45,23.14,1,707.69,35.35,100.0
151.94,8.58,0,407.07,56.98,100.0
111.99,32.53,0,796.69,46.77,100.0
186.21,23.68,0,1645.36,108.37,100.0
203.0,10.17,1,859.71,77.59,100.0
171.91,11.73,0,709.58,75.6,100.0
319.62,11.12,1,2328.68,194.52,100.0
194.54,11.76,0,911.29,96.86,100.0
174.45,11.29,0,704.12,77.43,100.0
