speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index,stability_label,force_ratio,speed_wing,porpoising_flag,speed_kmh_qbin,wing_angle_deg_qbin,downforce_n_qbin,drag_n_qbin
199.25,7.08,0,577.87,96.66,100.0,stable,5.9783773,1410.69,0,1,0,0,1
351.94,22.57,0,5617.09,378.93,44.15,moderate,14.823556,7943.2856,1,4,2,4,4
293.98,28.97,0,4945.14,300.02,77.74,mild,16.482702,8516.601,1,3,3,4,4
258.64,27.93,0,3702.69,227.46,100.0,stable,16.278421,7223.816,0,2,3,3,3
141.34,30.12,1,1184.59,53.24,100.0,stable,22.249998,4257.1606,0,0,4,1,0
141.34,34.38,0,1332.92,77.32,100.0,stable,17.239008,4859.269,0,0,4,1,1
115.39,34.87,0,899.55,52.04,100.0,stable,17.285742,4023.6492,0,0,4,1,0
329.54,17.31,0,3818.51,302.07,100.0,stable,12.641143,5704.3374,0,4,2,3,4
259.3,20.06,0,2725.14,196.27,100.0,stable,13.884648,5201.5576,0,3,2,3,3
287.64,19.95,0,3334.67,241.01,100.0,stable,13.836231,5738.4185,0,3,2,3,3
105.45,24.26,0,539.9,35.15,100.0,stable,15.359886,2558.217,0,0,3,0,0
357.03,12.37,0,3226.52,328.86,100.0,stable,9.811227,4416.461,0,4,1,3,4
320.6,28.18,1,5734.44,263.39,38.28,moderate,21.771667,9034.508,1,4,3,4,3
156.27,8.8,1,441.43,45.31,100.0,stable,9.74244,1375.176,0,1,0,0,0
148.18,33.54,0,1433.32,83.56,100.0,stable,17.153183,4969.957,0,0,4,2,1
148.6,8.74,0,396.55,54.59,100.0,stable,7.2641506,1298.764,0,0,0,0,0
180.62,27.28,0,1766.77,109.49,100.0,stable,16.13636,4927.3135,0,1,3,2,1
239.06,16.92,0,1964.62,157.91,100.0,stable,12.44139,4044.8953,0,2,1,2,2
214.47,24.02,0,2211.73,144.69,100.0,stable,15.285991,5151.5693,0,2,3,2,2
177.18,14.43,1,924.21,62.54,100.0,stable,14.777903,2556.7073,0,1,1,1,0
262.14,8.59,0,1212.8,169.63,100.0,stable,7.1496787,2251.7827,0,3,0,1,2
136.97,33.14,0,1211.78,70.83,100.0,stable,17.108288,4539.1855,0,0,4,1,1
177.42,20.3,0,1290.45,92.29,100.0,stable,13.982554,3601.6257,0,1,2,1,1
197.09,14.02,0,1111.48,102.55,100.0,stable,10.83842,2763.202,0,1,1,1,1
220.86,23.73,1,2319.75,114.46,100.0,stable,20.266905,5241.008,0,2,3,2,1
308.07,12.74,0,2472.39,246.08,100.0,stable,10.047098,3924.8118,0,3,1,3,3
152.91,6.21,1,299.02,42.41,100.0,stable,7.0506954,949.5711,0,0,0,0,0
