speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index,stability_label
148.28,16.5,0,738.02,60.34,100.0,stable
136.96,28.51,0,1058.11,64.53,100.0,stable
298.19,6.17,0,1128.64,214.97,100.0,stable
135.64,32.18,0,1157.64,68.13,100.0,stable
188.76,6.81,0,499.01,86.57,100.0,stable
122.3,12.48,0,381.92,38.64,100.0,stable
107.93,7.74,0,185.4,28.53,100.0,stable
172.78,6.92,0,425.25,72.6,100.0,stable
282.82,31.12,0,4884.98,290.01,80.75,mild
255.17,23.69,0,3090.48,203.52,100.0,stable
275.4,14.8,1,2288.79,151.96,100.0,stable
256.17,7.38,0,996.47,160.2,100.0,stable
359.36,29.07,0,7414.43,449.28,0.0,severe
347.85,32.72,0,7728.55,453.05,0.0,severe
103.1,5.9,0,129.06,25.65,100.0,stable
309.11,31.33,1,5869.53,260.89,31.52,moderate
114.47,10.94,1,293.71,24.89,100.0,stable
123.86,20.91,0,647.0,45.49,100.0,stable
156.96,10.67,0,538.84,62.21,100.0,stable
149.97,32.57,0,1430.61,83.95,100.0,stable
137.8,12.11,0,470.57,48.82,100.0,stable
257.51,13.58,1,1839.05,130.47,100.0,stable
141.6,32.5,1,1272.95,56.06,100.0,stable
123.71,7.18,1,226.14,27.97,100.0,stable
147.25,16.45,0,725.54,59.45,100.0,stable
175.18,12.01,0,754.41,78.8,100.0,stable
336.41,8.16,0,1898.24,278.21,100.0,stable
317.21,22.92,0,4630.48,309.91,93.48,mild
362.12,28.92,0,7491.31,454.75,0.0,severe
259.06,27.92,1,3713.27,171.11,100.0,stable
147.3,8.44,0,376.09,53.48,100.0,stable
136.46,33.58,1,1216.88,53.19,100.0,stable
354.52,7.52,0,1942.86,307.17,100.0,stable
349.81,15.73,0,3919.69,331.66,100.0,stable
149.18,26.13,1,1157.92,54.74,100.0,stable
312.7,5.08,0,1023.02,234.68,100.0,stable
209.52,25.65,1,2244.8,106.95,100.0,stable
295.8,21.63,0,3810.05,262.93,100.0,stable
120.36,7.13,0,212.37,35.28,100.0,stable
