trial_seed,gbest_fitness,n_iter,converged,speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n
4200,0.6852500474335647,33,True,345.0,20.0,1.0,4252.116028507935,18.0
4300,0.6852500533008968,39,True,345.0,20.0,1.0,4251.659880367941,18.0
4400,0.6852500526955373,30,True,345.0,20.0,1.0,4251.447285097114,18.0
4500,0.6852477631786859,31,True,345.0,20.0,1.0,4245.064077137678,18.0
4600,0.6852499887602425,34,True,345.0,20.0,1.0,4251.709172820545,18.0
4700,0.685250047200734,29,True,345.0,20.0,1.0,4251.269768456514,18.0
4800,0.6852500704372323,41,True,345.0,20.0,1.0,4252.986783716824,18.0
4900,0.6852500583766049,34,True,345.0,20.0,1.0,4252.935798173922,18.0
5000,0.6852500013796633,27,True,345.0,20.0,1.0,4251.25429567041,18.0
5100,0.6852490967394805,25,True,345.0,20.0,1.0,4256.543156746338,18.0
5200,0.6852494541345185,32,True,345.0,20.0,1.0,4248.616043298526,18.0
5300,0.6852500834757483,46,True,345.0,20.0,1.0,4252.145988428817,18.0
5400,0.6851910425139612,20,True,345.0,21.19281431989871,1.0,4209.050920542418,18.0
5500,0.6852500491565114,30,True,345.0,20.0,1.0,4252.3178088603445,18.0
5600,0.6852500599132872,40,True,345.0,20.0,1.0,4252.0891644262565,18.0
