trial_seed,gbest_fitness,n_iter,converged,speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n
4200,0.7900825429541635,43,True,320.0,20.0,1.0,4410.25181391624,18.0
4300,0.7900824024874361,40,True,320.0,20.0,1.0,4410.837634760004,18.0
4400,0.7900825697064043,39,True,320.0,20.0,1.0,4409.68811298633,18.0
4500,0.7900820785268786,18,True,320.0,20.0,1.0,4412.102527860936,18.0
4600,0.7900824897756444,37,True,320.0,20.0,1.0,4410.426120036836,18.0
4700,0.7900818218078108,18,True,320.0,20.0,1.0,4412.742197206908,18.0
4800,0.7900825296595336,53,True,320.0,20.0,1.0,4410.508888506913,18.0
4900,0.7900824981342646,48,True,320.0,20.0,1.0,4409.488445301477,18.0
5000,0.7900824709396453,32,True,320.0,20.0,1.0,4410.135975683836,18.0
5100,0.790082425956765,32,True,320.0,20.0,1.0,4409.246191309692,18.0
5200,0.7900823311015608,27,True,320.0,20.0,1.0,4411.157026084042,18.0
5300,0.7900822203673067,44,True,320.0,20.0,1.0,4411.735531432539,18.0
5400,0.7900581310104223,28,True,320.0,20.0,1.0,4427.054512090222,18.0
5500,0.7900825179714354,30,True,320.0,20.0,1.0,4409.503735251587,18.0
5600,0.7900824371326359,37,True,320.0,20.0,1.0,4408.848592480526,18.0
