w_stability,w_efficiency,w_power,fitness,speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n
0.1,0.1,0.8,0.16865126635287625,320.0,20.0,1.0,4428.323107599062,18.0
0.1,0.2,0.7,0.2723401199677645,320.0,20.0,1.0,4428.446088008546,18.0
0.1,0.3,0.6,0.3760289590540206,320.0,20.0,1.0,4427.954426303508,18.0
0.1,0.4,0.5,0.47971775918771,320.0,20.0,1.0,4428.50531139682,18.0
0.1,0.5,0.4,0.5834066013706136,320.0,20.0,1.0,4428.524797040302,18.0
0.1,0.6,0.3,0.6870953224815826,320.0,20.0,1.0,4429.301984882775,18.0
0.1,0.7,0.2,0.7907842917434514,320.0,20.0,1.0,4427.901205821079,18.0
0.1,0.8,0.1,0.8944731586529696,320.0,20.0,1.0,4427.962646523708,18.0
0.2,0.1,0.7,0.2721000118530973,320.0,20.0,1.0,4421.946248836057,18.0
0.2,0.2,0.6,0.37578885529328643,320.0,20.0,1.0,4421.786213844922,18.0
0.2,0.3,0.5,0.47947767857034174,320.0,20.0,1.0,4421.982078227585,18.0
0.2,0.4,0.4,0.583166530718397,320.0,20.0,1.0,4422.422481331109,18.0
0.2,0.5,0.3,0.6868553785823683,320.0,20.0,1.0,4422.439229671398,18.0
0.2,0.6,0.2,0.7905441959455254,320.0,20.0,1.0,4422.626555476096,18.0
0.2,0.7,0.1,0.8942330221096807,320.0,20.0,1.0,4421.711519972733,18.0
0.3,0.1,0.6,0.3755548322540572,320.0,20.0,1.0,4415.359685490249,18.0
0.3,0.2,0.5,0.4792437019342598,320.0,20.0,1.0,4416.04784023932,18.0
0.3,0.3,0.4,0.5829325390880216,320.0,20.0,1.0,4415.578440642314,18.0
0.3,0.4,0.3,0.6866214246007081,320.0,20.0,1.0,4415.889266804611,18.0
0.3,0.5,0.2,0.7903101915560307,320.0,20.000068754256123,1.0,4415.985666058954,18.0
0.3,0.6,0.1,0.8939990786519656,320.0,20.0,1.0,4416.012960714298,18.0
0.4,0.1,0.5,0.47901597088706166,320.0,20.0,1.0,4409.103906858948,18.0
0.4,0.2,0.4,0.5827048311841894,320.0,20.0,1.0,4410.390763784463,18.0
0.4,0.3,0.3,0.6863937001891832,320.0,20.0,1.0,4410.00202770251,18.0
0.4,0.4,0.2,0.7900825823723915,320.0,20.0,1.0,4409.834673689227,18.0
0.4,0.5,0.1,0.8937713483498254,320.0,20.0,1.0,4409.965784505914,18.0
0.5,0.1,0.4,0.5824837530398029,320.0,20.0,1.0,4402.566552000135,18.0
0.5,0.2,0.3,0.6861726110086243,320.0,20.0,1.0,4403.013493123271,18.0
0.5,0.3,0.2,0.7898614520972239,320.0,20.0,1.0,4402.798642837281,18.0
0.5,0.4,0.1,0.893550282126368,320.0,20.0,1.0,4403.247268326364,18.0
0.6,0.1,0.3,0.6859584723350058,320.0,20.0,1.0,4396.371192782933,18.0
0.6,0.2,0.2,0.7896472963105531,320.0,20.0,1.0,4396.573024112103,18.0
0.6,0.3,0.1,0.8933361169100562,320.0,20.0,1.0,4396.135417464589,18.0
0.7,0.1,0.2,0.7894405323380248,320.0,20.0,1.0,4388.601936391887,18.0
0.7,0.2,0.1,0.8931293901438648,320.0,20.0,1.0,4388.7295410145,18.0
0.8,0.1,0.1,0.8929308037423351,320.0,20.0,1.0,4380.450129211689,18.0
